date,XA,XB,XC,XD,XE,XF,XG,XH,XJ,XK,XL,XM,XN,XP,XQ,XR,XS,XT,XU,XV,XW,XY,XZ,ZA,ZB,ZC,ZD,ZE,ZF,ZG
2020-03-09 09:30,263.45,173.49,215.05,150.44,153.05,189.81,184.305,153.01,232.54,194.69,110.55,145.585,108.92,100.04,95.69,136.45,81.99,115.745,121.68,267.45,118.9,115.59,81.44,78.68,34.36,36.87,52.275,52.03,54.99,49.545
2020-03-09 09:35,263.45,173.49,215.05,150.44,153.05,189.81,184.305,153.01,232.54,194.69,110.55,145.585,108.92,100.04,95.69,136.45,81.99,115.745,121.68,267.45,118.9,115.59,81.44,78.68,34.36,36.87,52.275,52.03,54.99,49.545
2020-03-09 09:40,263.45,173.49,215.05,150.44,153.05,189.81,184.305,153.01,232.54,194.69,110.55,145.585,108.92,100.04,95.69,136.45,81.99,115.745,121.68,267.45,118.9,115.59,81.44,78.68,34.36,36.87,52.275,52.03,54.99,49.545
2020-03-09 09:45,260.4,172.495,214.55,150.745,153.05,189.54,169.62,153.01,230.12,192.0,110.17,145.465,108.92,100.04,95.69,137.0,81.245,114.58,121.68,269.125,118.9,113.91,81.44,77.63,34.36,36.93,51.95,51.9,55.24,49.23
2020-03-09 09:50,263.83,175.13,213.67,154.8,153.05,190.44,173.22,152.66,231.48,193.255,110.285,147.315,108.32,98.94,96.73,137.81,81.86,115.315,117.63,272.84,119.69,115.115,81.38,77.81,31.08,37.62,52.35,51.515,55.67,48.9
2020-03-09 09:55,264.18,177.505,214.045,155.11,154.17,192.065,177.2,154.2,233.995,196.95,111.035,148.3,109.75,99.58,97.83,138.02,82.87,116.32,118.505,272.51,120.0,115.62,84.97,79.24,32.65,38.005,52.745,51.97,55.535,49.285
2020-03-09 10:00,264.34,175.34,213.195,154.08,154.215,191.805,174.205,153.97,234.615,197.9,111.04,147.45,108.26,98.6,96.335,136.97,82.83,114.96,117.46,269.38,119.195,116.32,84.115,79.12,33.44,37.6,52.73,51.695,55.33,49.105
2020-03-09 10:05,267.575,176.97,215.245,157.5,155.83,194.27,177.81,155.045,238.97,199.275,111.89,149.145,109.46,99.76,97.92,137.91,83.28,116.02,118.71,275.92,121.01,117.61,84.88,80.12,33.35,38.045,53.29,51.95,55.96,49.72
2020-03-09 10:10,265.885,176.37,213.89,156.37,155.28,193.73,176.87,155.47,239.01,199.03,111.5,148.38,109.29,100.08,97.94,137.93,82.73,114.865,117.95,275.07,120.31,117.39,86.69,79.655,33.4,37.8,52.89,51.86,55.82,49.315
2020-03-09 10:15,265.46,177.11,215.595,157.21,156.16,194.04,177.09,156.53,240.0,199.515,112.05,149.35,109.64,100.615,97.96,138.06,83.335,115.115,117.965,275.99,120.765,118.8,87.28,80.08,33.555,38.06,52.945,52.11,56.035,49.35
2020-03-09 10:20,264.55,176.33,214.62,153.98,155.08,192.93,177.03,156.09,238.0,199.2,111.205,148.35,109.01,100.545,97.36,137.85,82.87,115.21,118.15,273.325,120.29,118.5,85.6,80.27,33.525,37.845,52.84,51.77,55.78,49.26
2020-03-09 10:25,266.14,176.61,214.7,154.33,154.05,193.305,176.83,156.255,238.58,198.37,111.16,148.15,109.56,100.66,97.19,138.075,83.235,115.265,118.255,274.45,120.79,118.54,84.58,80.21,33.27,38.14,53.045,51.86,56.01,49.245
2020-03-09 10:30,268.12,176.81,215.015,154.75,154.59,192.93,176.48,156.85,240.425,199.3,111.375,148.175,109.68,100.745,97.335,138.235,83.66,115.47,118.07,274.39,121.27,118.73,85.03,80.07,33.19,38.44,53.065,51.86,56.05,49.34
2020-03-09 10:35,267.315,176.49,214.815,154.89,154.44,192.61,176.71,156.91,239.96,199.23,111.395,147.955,109.185,100.36,96.61,138.48,83.9,115.495,118.03,273.455,121.17,118.545,85.35,80.325,32.85,38.46,53.16,51.96,56.4,49.275
2020-03-09 10:40,267.42,176.525,214.17,154.46,154.05,192.255,175.97,156.405,240.43,199.76,110.99,147.7,109.11,100.23,96.33,138.45,83.9,115.29,117.71,272.24,121.085,118.22,85.6,80.31,32.71,38.51,52.985,51.795,56.5,49.38
2020-03-09 10:45,265.12,176.31,213.81,154.17,154.05,191.59,175.3,156.15,240.035,198.82,110.46,147.35,108.79,99.65,95.26,137.885,83.98,114.96,117.605,271.19,120.545,117.95,84.43,80.07,32.77,38.28,52.86,51.705,56.61,49.24
2020-03-09 10:50,265.97,176.41,213.3,154.33,153.97,190.75,174.8,155.56,238.805,197.71,109.64,146.775,107.74,99.315,95.02,137.22,83.825,114.495,116.92,271.07,119.94,117.18,83.48,79.86,32.55,38.23,52.72,51.615,56.315,48.74
